# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
313.946908 336.971403 1887.504660 0.777734 0.661018 -0.143710 351.311751
308.958146 336.964728 1429.797131 0.943378 0.721781 0.112122 351.224511
310.954949 337.963014 1047.562697 1.340450 0.723466 -0.001277 351.145293
309.938622 336.956900 1390.296226 0.988953 0.695131 0.101195 351.607442
305.965223 338.969528 1792.957090 0.758922 0.704238 -0.085252 350.489935
302.943130 343.958531 1780.842605 0.797738 0.689361 0.076896 350.598320
300.965160 344.969613 1299.330929 1.051819 0.705215 -0.014319 349.807467
300.945550 344.961572 991.295473 1.404795 0.728164 0.016337 349.806892
298.957936 345.960412 1620.772450 0.855017 0.699121 -0.466653 350.089912
295.949624 346.963976 1367.698145 0.942491 0.767141 -0.041423 349.755092
294.939579 345.955712 1421.461188 0.934213 0.720236 -0.017484 350.245002
293.942826 346.957822 823.002960 1.590266 0.739888 0.039630 350.340071
280.959647 348.972624 1165.548279 1.180028 0.702611 0.012393 349.803041
279.946996 347.970945 1524.449927 0.893312 0.714708 -0.091373 349.919955
280.945783 340.965715 1468.074500 0.874047 0.772500 0.299531 350.625173
276.953044 339.957056 1215.167036 1.131779 0.707943 0.089315 351.308880
275.941505 339.961158 1342.840163 0.993870 0.719175 -0.069075 351.503594
274.947626 342.970430 1543.211522 0.835838 0.751471 0.026450 351.412920
271.956410 342.964286 1648.928509 0.801830 0.724356 0.785398 351.676906
269.957562 342.968701 1303.952879 0.966850 0.770817 0.089511 351.347682
265.961751 341.967721 926.216329 1.370638 0.777094 -0.097084 351.193053
265.961030 344.960546 1158.400838 1.124107 0.740214 -0.087343 352.471962
264.954301 344.963206 1408.235468 0.895467 0.766862 -0.181577 352.083114
260.942859 342.960481 1334.637629 1.004792 0.707822 0.026038 353.058007
258.952972 342.961542 1404.939720 0.932241 0.727305 -0.013603 352.715459
257.954154 341.959570 1247.726541 1.090679 0.715230 -0.094138 351.983457
255.942972 340.964184 1156.809576 1.067401 0.789127 -0.040205 351.192166
250.953460 342.958364 1427.237524 0.920047 0.730140 -0.086247 351.476159
244.955407 341.954630 1304.962204 1.044867 0.704851 -0.065267 351.651245
243.957588 340.958050 1425.124927 0.943227 0.698596 -0.134045 351.971642
243.951420 339.961865 1025.710152 1.284642 0.749430 0.079206 351.194775
242.948948 345.957070 1291.430784 0.995104 0.724959 -0.022317 352.381338
240.947615 344.959994 1295.493685 0.990638 0.684174 0.035373 353.184230
236.948669 342.956429 1240.424720 1.107846 0.700668 -0.147900 353.232560
235.935796 346.956318 1242.330933 1.093513 0.683191 -0.042426 354.807529
231.953973 345.958943 980.288203 1.496746 0.681130 -0.039786 355.259945
229.966012 344.970597 1390.716475 0.972175 0.722459 -0.054070 356.050059
230.949036 343.959171 1636.171627 0.852660 0.697624 -0.194121 357.096072
226.949130 342.970286 1308.434378 1.048646 0.718018 -0.128288 357.177221
224.967338 341.964653 879.332637 1.579416 0.742114 -0.070697 357.926055
223.952728 339.959732 1446.885144 0.928553 0.713090 0.037674 358.643679
219.961327 338.962290 1472.810670 0.877766 0.754570 -0.197410 358.721803
217.962947 337.964169 1170.240502 1.138617 0.745209 -0.182351 358.990574
208.961423 336.969659 1060.590409 1.155746 0.739259 -0.083537 359.846626
209.965571 336.971329 799.648259 1.626237 0.778124 -0.093507 359.484060
211.946597 335.970185 1463.116196 0.863262 0.780054 -0.027864 360.018287
208.962621 340.968213 1319.063311 0.999124 0.753314 -0.256521 361.232112
204.947166 338.970097 1152.299200 1.109002 0.769320 -0.275918 361.775166
206.959807 335.959832 1154.029945 1.181181 0.710020 -0.008159 362.393396
203.958247 334.969286 1246.199440 1.060899 0.745381 -0.177718 362.883775
199.968581 332.968094 1531.480631 0.835908 0.763745 -0.214722 362.794830
197.963377 330.969773 1165.596263 1.102390 0.731209 -0.145505 363.483651
194.946432 327.960313 1174.149240 1.170351 0.696166 -0.149760 365.254349
195.960767 330.959474 1115.779098 1.256227 0.698180 -0.080388 364.583752
193.965028 336.971297 1532.387396 0.856412 0.725741 -0.261148 364.461975
188.945735 333.958453 1614.359275 0.859885 0.681809 -0.252798 365.746187
188.958406 332.971245 1334.497055 0.948516 0.751849 -0.116012 364.268001
186.950233 330.967308 914.657005 1.445202 0.764863 -0.205208 364.403128
181.957758 327.965825 1148.468540 1.095737 0.776351 -0.404561 364.600912
182.955742 325.968949 1430.566679 0.883876 0.764367 -0.212801 365.397894
180.955257 332.971167 1156.819885 1.143561 0.727723 -0.248681 366.371793
178.952569 328.968473 1349.695525 0.937980 0.760052 -0.519830 366.252054
177.954936 325.968756 1041.336288 1.304453 0.731806 -0.242287 366.446579
173.964091 323.963412 1372.020902 0.930511 0.751648 -0.306894 367.486455
175.952585 319.964885 1247.453625 0.979135 0.744588 -0.050269 368.591973
173.954758 317.970293 1345.074151 0.918880 0.766028 -0.421672 367.178191
171.955478 326.971501 1132.625489 1.078788 0.753292 -0.293551 368.129961
170.951821 323.962816 1268.202623 1.000454 0.741132 -0.271327 368.039229
170.957794 320.967491 1288.363484 0.918032 0.794712 -0.679394 367.847129
168.953484 316.964914 1450.324247 0.845966 0.762729 -0.370729 366.441258
165.946638 314.966621 1219.666630 0.971854 0.786569 -0.480014 367.218375
163.957337 318.971592 683.433166 1.779628 0.799182 -0.202799 367.457528
165.952292 315.969643 1243.871338 0.914036 0.835272 0.715751 367.249867
162.965370 314.965628 1249.012131 0.916966 0.806097 -0.449486 368.546531
158.955714 311.969277 1292.536699 0.910022 0.787152 -0.336920 368.274235
157.949510 315.965658 1083.576026 0.807438 1.025170 0.785398 369.708998
158.952493 312.964293 907.580010 1.359543 0.771602 -0.227955 370.172669
155.971552 310.973347 1416.533896 0.794110 0.804182 0.345310 370.181281
151.958231 306.964471 1324.729659 0.900609 0.751039 -0.594593 371.168588
151.949967 303.964809 1231.771554 0.931565 0.783167 -0.383071 371.190963
153.970145 307.971431 1322.663203 0.907267 0.746600 0.018807 371.162240
150.971297 304.970501 1204.908226 0.909318 0.826972 -0.325052 370.996895
