id,time,T_flux,uncertainty,x_centroid,y_centroid,norm_t,oot_mask,norm_flux,norm_flux_error
37,58107.142,152.28642049535847,56.80577256021839,424.00081737388473,287.001377586186,0.07699999999749707,False,1.0869580028098147,0.40545630325591303
38,58107.144,148.6846754810249,56.55845756348131,424.00008007035535,287.0029225968391,0.07899999999790452,False,1.0612502243048394,0.40369107025586076
39,58107.146,156.39121922745835,57.848906655843074,424.00116146691346,287.0017363315685,0.08099999999831198,False,1.116256372403547,0.41290176654512073
40,58107.148,154.43777755906922,57.321606399319606,424.0008447222582,287.00268372641403,0.08299999999871943,False,1.1023135070609182,0.40913811360845376
41,58107.15,182.30185402416828,57.556879416772006,424.00153109505493,287.00469430088896,0.08499999999912689,False,1.3011958552448601,0.4108173958998968
42,58107.152,161.84309433039743,57.07754978831427,424.00176187322035,287.00367559345085,0.08699999999953434,False,1.1551696205722493,0.4073961376291906
43,58107.154,166.23484158149222,56.518471436153405,424.0013990608553,287.0014188428436,0.08899999999994179,False,1.1865161109905527,0.40340566568098757
44,58107.156,161.75244292135176,57.52181292925342,424.001161142066,287.0014238459547,0.09100000000034925,False,1.1545225879989727,0.41056710569598515
45,58107.158,114.49036462324875,57.034824844058264,424.0015210635702,287.0029306703337,0.0930000000007567,False,0.817185259638084,0.4070911845025256
46,58107.161,162.46185880227858,57.149505546120395,424.0023186712054,287.0014064670734,0.0959999999977299,False,1.1595861075602412,0.40790972831272754
