BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass,x_centroid,y_centroid,amplitude,sigma_x,sigma_y,rotation,offset
2458107.711,-0.001115369105,0.9824178678,0.005909156843,0.9695688257,1.02341743,298.957936,345.960412,1620.77245,0.855017,0.699121,-0.466653,350.089912
2458107.713,-0.000163048404,0.9705886076,0.005909130302,0.9695541872,1.023021955,295.949624,346.963976,1367.698145,0.942491,0.767141,-0.041423,349.755092
2458107.715,0.0008049362167,0.9617708532,0.005909102402,0.9695619935,1.02260639,294.939579,345.955712,1421.461188,0.934213,0.720236,-0.017484,350.245002
2458107.717,0.00177268974,0.957838648,0.005909073217,0.9695927095,1.022171873,293.942826,346.957822,823.00296,1.590266,0.739888,0.03963,350.340071
2458107.719,0.002746019916,0.9654815218,0.005909042763,0.9696471314,1.021718655,280.959647,348.972624,1165.548279,1.180028,0.702611,0.012393,349.803041
2458107.722,0.003713730122,0.9731960785,0.005909011417,0.9697249412,1.02125236,279.946996,347.970945,1524.449927,0.893312,0.714708,-0.091373,349.919955
2458107.724,0.004681941292,0.979505452,0.005908978937,0.9698270524,1.02076942,280.945783,340.965715,1468.0745,0.874047,0.7725,0.299531,350.625173
2458107.726,0.005649834513,0.9794893779,0.005908945433,0.9699542193,1.020271505,276.953044,339.957056,1215.167036,1.131779,0.707943,0.089315,351.30888
2458107.728,0.006617878695,0.9670815268,0.005908910647,0.9701075434,1.019754784,275.941505,339.961158,1342.840163,0.99387,0.719175,-0.069075,351.503594
2458107.73,0.007603713453,0.9750661254,0.00590887406,0.970291878,1.019211575,274.947626,342.97043,1543.211522,0.835838,0.751471,0.02645,351.41292
2458107.732,0.008555296246,0.9720468779,0.005908837439,0.9704983163,1.01866816,271.95641,342.964286,1648.928509,0.80183,0.724356,0.785398,351.676906
2458107.734,0.009528389476,0.9713327979,0.005908798852,0.9707402344,1.018095884,269.957562,342.968701,1303.952879,0.96685,0.770817,0.089511,351.347682
2458107.736,0.01049608907,0.9781672869,0.005908759135,0.9710139015,1.017507179,265.961751,341.967721,926.216329,1.370638,0.777094,-0.097084,351.193053
2458107.738,0.01146364853,0.9656655857,0.005908718258,0.9713231205,1.016901624,265.96103,344.960546,1158.400838,1.124107,0.740214,-0.087343,352.471962
2458107.74,0.01243128878,0.9617768739,0.005908676277,0.9716710406,1.016280099,264.954301,344.963206,1408.235468,0.895467,0.766862,-0.181577,352.083114
2458107.742,0.01340440909,0.9798312525,0.00590863253,0.9720636531,1.015632814,260.942859,342.960481,1334.637629,1.004792,0.707822,0.026038,353.058007
2458107.744,0.01437135474,0.9775764562,0.005908587688,0.972500653,1.014969757,258.952972,342.961542,1404.93972,0.932241,0.727305,-0.013603,352.715459
2458107.747,0.01533941474,0.9753200353,0.005908541537,0.9729903788,1.014287804,257.954154,341.95957,1247.726541,1.090679,0.71523,-0.094138,351.983457
2458107.749,0.01630802399,0.9661153237,0.005908494238,0.9735394046,1.013589341,255.942972,340.964184,1156.809576,1.067401,0.789127,-0.040205,351.192166
2458107.751,0.0172762618,0.9752019496,0.005908445263,0.9741558015,1.01286663,250.95346,342.958364,1427.237524,0.920047,0.73014,-0.086247,351.476159
2458107.753,0.01824414939,0.9733774999,0.005908394859,0.9748508497,1.01212336,244.955407,341.95463,1304.962204,1.044867,0.704851,-0.065267,351.651245
2458107.755,0.01921746874,0.976609623,0.005908342666,0.9756453595,1.011354285,243.957588,340.95805,1425.124927,0.943227,0.698596,-0.134045,351.971642
2458107.757,0.02018547502,0.9743594924,0.005908289375,0.9765550368,1.010569628,243.95142,339.961865,1025.710152,1.284642,0.74943,0.079206,351.194775
2458107.759,0.02115361016,0.9666371232,0.005908234528,0.9776287723,1.009762691,242.948948,345.95707,1291.430784,0.995104,0.724959,-0.022317,352.381338
2458107.761,0.02212158439,0.9740462742,0.00590817842,0.9790825684,1.008937849,240.947615,344.959994,1295.493685,0.990638,0.684174,0.035373,353.18423
2458107.763,0.02308929979,0.9740716738,0.005908120443,0.981696426,1.008086231,236.948669,342.956429,1240.42472,1.107846,0.700668,-0.1479,353.23256
2458107.765,0.02406159599,0.9823791644,0.005908060408,0.9847893755,1.007205143,235.935796,346.956318,1242.330933,1.093513,0.683191,-0.042426,354.807529
2458107.767,0.02502912318,0.987426742,0.005907999217,0.9879845098,1.006307863,231.953973,345.958943,980.288203,1.496746,0.68113,-0.039786,355.259945
2458107.769,0.02599699474,0.9965907719,0.005907936607,0.9910957199,1.005390602,229.966012,344.970597,1390.716475,0.972175,0.722459,-0.05407,356.050059
2458107.772,0.0269695333,1.002634136,0.005907871518,0.993980571,1.004437892,230.949036,343.959171,1636.171627,0.85266,0.697624,-0.194121,357.096072
2458107.774,0.02793703883,1.003359316,0.00590780503,0.9964750071,1.00346564,226.94913,342.970286,1308.434378,1.048646,0.718018,-0.128288,357.177221
2458107.776,0.02890418353,0.9986547813,0.005907737122,0.9984552187,1.002473563,224.967338,341.964653,879.332637,1.579416,0.742114,-0.070697,357.926055
2458107.778,0.02987180754,0.9998157411,0.005907667072,0.999740584,1.001451225,223.952728,339.959732,1446.885144,0.928553,0.71309,0.037674,358.643679
2458107.78,0.03084408229,1.002768527,0.005907594661,1,1.000395504,219.961327,338.96229,1472.81067,0.877766,0.75457,-0.19741,358.721803
2458107.782,0.03181127009,0.9907192168,0.005907520674,1,0.9993179343,217.962947,337.964169,1170.240502,1.138617,0.745209,-0.182351,358.990574
2458107.784,0.03277835566,0.9927887562,0.00590744508,1,0.9982181608,208.961423,336.969659,1060.590409,1.155746,0.739259,-0.083537,359.846626
2458107.786,0.03375092129,0.9869110391,0.005907366618,1,0.997077923,209.965571,336.971329,799.648259,1.626237,0.778124,-0.093507,359.48406
2458107.788,0.03471808765,1.002932364,0.005907286583,1,0.9959161455,211.946597,335.970185,1463.116196,0.863262,0.780054,-0.027864,360.018287
2458107.79,0.03568509785,1.005297689,0.005907204789,1,0.9947302283,208.962621,340.968213,1319.063311,0.999124,0.753314,-0.256521,361.232112
2458107.792,0.03665765243,0.9958385403,0.005907119871,1,0.9935004784,204.947166,338.970097,1152.2992,1.109002,0.76932,-0.275918,361.775166
2458107.794,0.03762480775,0.98969248,0.005907033052,1,0.9922447553,206.959807,335.959832,1154.029945,1.181181,0.71002,-0.008159,362.393396
2458107.797,0.03859194725,1.006041698,0.005906944466,1,0.9909650962,203.958247,334.969286,1246.19944,1.060899,0.745381,-0.177718,362.883775
2458107.799,0.03956428654,0.9956409666,0.005906852465,1,0.9896378355,199.968581,332.968094,1531.480631,0.835908,0.763745,-0.214722,362.79483
2458107.801,0.04053118369,0.9996762628,0.005906759107,1,0.9882927995,197.963377,330.969773,1165.596263,1.10239,0.731209,-0.145505,363.483651
2458107.803,0.04150327542,0.991945958,0.005906662127,1,0.986897489,194.946432,327.960313,1174.14924,1.170351,0.696166,-0.14976,365.254349
2458107.805,0.04247032331,0.9988903053,0.005906563108,1,0.9854748358,195.960767,330.959474,1115.779098,1.256227,0.69818,-0.080388,364.583752
2458107.807,0.04343710718,0.9972743476,0.00590646201,1,0.9840244145,193.965028,336.971297,1532.387396,0.856412,0.725741,-0.261148,364.461975
2458107.809,0.04440951643,1.001588418,0.005906356944,1,0.9825193079,188.945735,333.958453,1614.359275,0.859885,0.681809,-0.252798,365.746187
2458107.811,0.04537634882,1.003813717,0.005906249619,1,0.9809841906,188.958406,332.971245,1334.497055,0.948516,0.751849,-0.116012,364.268001
2458107.813,0.04634335902,1.000281086,0.00590613999,1,0.9794185522,186.950233,330.967308,914.657005,1.445202,0.764863,-0.205208,364.403128
2458107.815,0.04731606976,0.9955556538,0.005906026223,1,0.9777964462,181.957758,327.965825,1148.46854,1.095737,0.776351,-0.404561,364.600912
2458107.817,0.04828313887,1.005349506,0.005905909957,1,0.976141432,182.955742,325.968949,1430.566679,0.883876,0.764367,-0.212801,365.397894
2458107.819,0.04925004684,0.9968537195,0.005905790899,1,0.9744495568,180.955257,332.971167,1156.819885,1.143561,0.727723,-0.248681,366.371793
2458107.822,0.05022229994,0.9996264803,0.005905667518,1,0.9726993162,178.952569,328.968473,1349.695525,0.93798,0.760052,-0.51983,366.252054
2458107.824,0.05118928826,1.006712673,0.005905541856,1,0.9709198978,177.954936,325.968756,1041.336288,1.304453,0.731806,-0.242287,366.446579
2458107.826,0.05216154136,1.009507115,0.00590541158,1,0.9690785445,173.964091,323.963412,1372.020902,0.930511,0.751648,-0.306894,367.486455
2458107.828,0.05312876165,0.9965795154,0.005905278052,1,0.9671948097,175.952585,319.964885,1247.453625,0.979135,0.744588,-0.050269,368.591973
2458107.83,0.05409595984,1.003184518,0.005905141719,1,0.9652752322,173.954758,317.970293,1345.074151,0.91888,0.766028,-0.421672,367.178191
2458107.832,0.05506804617,1.004029271,0.00590500001,1,0.9632839519,171.955478,326.971501,1132.625489,1.078788,0.753292,-0.293551,368.129961
2458107.834,0.05603492143,1.009029474,0.005904854951,1,0.9612498077,170.951821,323.962816,1268.202623,1.000454,0.741132,-0.271327,368.039229
2458107.836,0.05700160308,0.9918577985,0.005904706454,1,0.9591718443,170.957794,320.967491,1288.363484,0.918032,0.794712,-0.679394,367.847129
2458107.838,0.05797403377,1.001663309,0.005904551981,1,0.9570149786,168.953484,316.964914,1450.324247,0.845966,0.762729,-0.370729,366.441258
2458107.84,0.05894098463,0.9981892491,0.005904394994,1,0.9548279141,165.946638,314.966621,1219.66663,0.971854,0.786569,-0.480014,367.218375
2458107.842,0.05991325916,0.9906904724,0.005904231605,1,0.9525569196,163.957337,318.971592,683.433166,1.779628,0.799182,-0.202799,367.457528
2458107.844,0.06088030683,1.005524499,0.005904064145,1,0.9502348688,165.952292,315.969643,1243.871338,0.914036,0.835272,0.715751,367.249867
2458107.847,0.06184747839,1.007509031,0.005903892838,1,0.9478652639,162.96537,314.965628,1249.012131,0.916966,0.806097,-0.449486,368.546531
2458107.849,0.06281508594,0.9985864907,0.005903715455,1,0.9454177711,158.955714,311.969277,1292.536699,0.910022,0.787152,-0.33692,368.274235
2458107.851,0.06378732798,1.003903412,0.005903531698,1,0.942888907,157.94951,315.965658,1083.576026,0.807438,1.02517,0.785398,369.708998
2458107.853,0.06475467173,1.0090837,0.005903344281,1,0.9403165764,158.952493,312.964293,907.58001,1.359543,0.771602,-0.227955,370.172669
2458107.855,0.06572169774,1.0013008,0.00590315003,1,0.9376577529,155.971552,310.973347,1416.533896,0.79411,0.804182,0.34531,370.181281
2458107.857,0.06669399935,0.9878495857,0.005902948998,1,0.9349139538,151.958231,306.964471,1324.729659,0.900609,0.751039,-0.594593,371.168588
2458107.859,0.067663507,0.9977487803,0.005902742527,1,0.9321041648,151.949967,303.964809,1231.771554,0.931565,0.783167,-0.383071,371.190963
2458107.861,0.06863049533,0.9976931047,0.005902529565,1,0.9292148006,153.970145,307.971431,1322.663203,0.907267,0.7466,0.018807,371.16224
2458107.863,0.0695973654,1.006317506,0.005902311172,1,0.9262609362,150.971297,304.970501,1204.908226,0.909318,0.826972,-0.325052,370.996895
