# FINAL TIMESERIES OF HAT-P-32 b,,,,,
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2458107.672,-0.01954198815,0.9751813136,0.005909480986,0.9759147853,1.02825953
2458107.674,-0.01857402974,0.9780068071,0.005909472521,0.9750908917,1.028132786
2458107.676,-0.01760595848,0.978721066,0.005909463055,0.9743679744,1.027991089
2458107.678,-0.01663247735,0.973488378,0.00590945264,0.9737248774,1.027835183
2458107.68,-0.01566806661,0.9709088208,0.005909441416,0.9731582391,1.027667208
2458107.682,-0.0146948653,0.9743242826,0.005909429164,0.9726481665,1.027483889
2458107.684,-0.01372705785,0.9684542032,0.005909416029,0.9721951884,1.027287374
2458107.686,-0.01275933638,0.9675569293,0.00590940197,0.9717905934,1.027077092
2458107.688,-0.01179125451,0.9689015608,0.005909387046,0.9714295172,1.026853909
2458107.69,-0.01082316723,0.9729927663,0.005909371068,0.9711082261,1.026615017
2458107.692,-0.009854832388,0.972570045,0.005909354191,0.9708233989,1.026362761
2458107.694,-0.008881179067,0.9734148556,0.005909336169,0.9705710917,1.026093433
2458107.697,-0.007913377028,0.9688308056,0.00590931732,0.9703518499,1.02581184
2458107.699,-0.00694560726,0.9735896919,0.005909297504,0.9701621166,1.02551587
2458107.701,-0.005977837709,0.9628178325,0.005909276791,0.9700002487,1.025206597
2458107.703,-0.005010154143,0.9756679418,0.005909254973,0.9698648957,1.024880933
2458107.705,-0.004036667809,0.9782652947,0.005909232003,0.9697543401,1.024538162
2458107.707,-0.003068887429,0.9660249336,0.005909208128,0.9696689915,1.024182027
2458107.709,-0.002100767875,0.9644063591,0.005909183256,0.9696073866,1.023811144
2458107.711,-0.001115369105,0.9824178678,0.005909156843,0.9695688257,1.02341743
2458107.713,-0.000163048404,0.9705886076,0.005909130302,0.9695541872,1.023021955
2458107.715,0.0008049362167,0.9617708532,0.005909102402,0.9695619935,1.02260639
2458107.717,0.00177268974,0.957838648,0.005909073217,0.9695927095,1.022171873
2458107.719,0.002746019916,0.9654815218,0.005909042763,0.9696471314,1.021718655
2458107.722,0.003713730122,0.9731960785,0.005909011417,0.9697249412,1.02125236
2458107.724,0.004681941292,0.979505452,0.005908978937,0.9698270524,1.02076942
2458107.726,0.005649834513,0.9794893779,0.005908945433,0.9699542193,1.020271505
2458107.728,0.006617878695,0.9670815268,0.005908910647,0.9701075434,1.019754784
2458107.73,0.007603713453,0.9750661254,0.00590887406,0.970291878,1.019211575
2458107.732,0.008555296246,0.9720468779,0.005908837439,0.9704983163,1.01866816
2458107.734,0.009528389476,0.9713327979,0.005908798852,0.9707402344,1.018095884
2458107.736,0.01049608907,0.9781672869,0.005908759135,0.9710139015,1.017507179
2458107.738,0.01146364853,0.9656655857,0.005908718258,0.9713231205,1.016901624
2458107.74,0.01243128878,0.9617768739,0.005908676277,0.9716710406,1.016280099
2458107.742,0.01340440909,0.9798312525,0.00590863253,0.9720636531,1.015632814
2458107.744,0.01437135474,0.9775764562,0.005908587688,0.972500653,1.014969757
2458107.747,0.01533941474,0.9753200353,0.005908541537,0.9729903788,1.014287804
2458107.749,0.01630802399,0.9661153237,0.005908494238,0.9735394046,1.013589341
2458107.751,0.0172762618,0.9752019496,0.005908445263,0.9741558015,1.01286663
2458107.753,0.01824414939,0.9733774999,0.005908394859,0.9748508497,1.01212336
2458107.755,0.01921746874,0.976609623,0.005908342666,0.9756453595,1.011354285
2458107.757,0.02018547502,0.9743594924,0.005908289375,0.9765550368,1.010569628
2458107.759,0.02115361016,0.9666371232,0.005908234528,0.9776287723,1.009762691
2458107.761,0.02212158439,0.9740462742,0.00590817842,0.9790825684,1.008937849
2458107.763,0.02308929979,0.9740716738,0.005908120443,0.981696426,1.008086231
2458107.765,0.02406159599,0.9823791644,0.005908060408,0.9847893755,1.007205143
2458107.767,0.02502912318,0.987426742,0.005907999217,0.9879845098,1.006307863
2458107.769,0.02599699474,0.9965907719,0.005907936607,0.9910957199,1.005390602
2458107.772,0.0269695333,1.002634136,0.005907871518,0.993980571,1.004437892
2458107.774,0.02793703883,1.003359316,0.00590780503,0.9964750071,1.00346564
2458107.776,0.02890418353,0.9986547813,0.005907737122,0.9984552187,1.002473563
2458107.778,0.02987180754,0.9998157411,0.005907667072,0.999740584,1.001451225
2458107.78,0.03084408229,1.002768527,0.005907594661,1,1.000395504
2458107.782,0.03181127009,0.9907192168,0.005907520674,1,0.9993179343
2458107.784,0.03277835566,0.9927887562,0.00590744508,1,0.9982181608
2458107.786,0.03375092129,0.9869110391,0.005907366618,1,0.997077923
